Country,Airport
Taiwan,Taiwan Taoyuan International Airport
Tajikistan,Dushanbe International Airport
Tanzania,Julius Nyerere International Airport
Thailand,Suvarnabhumi Airport
Timor-Leste,Presidente Nicolau Lobato International Airport
Togo,Lomé–Tokoin Airport
Tonga,Fuaʻamotu International Airport
Trinidad and Tobago,Piarco International Airport
Tunisia,Tunis–Carthage International Airport
Turkey,Istanbul Airport
Turkmenistan,Ashgabat International Airport
Tuvalu,Funafuti International Airport
Uganda,Entebbe International Airport
Ukraine,Boryspil International Airport
United Arab Emirates,Dubai International Airport
United Kingdom,Heathrow Airport
United States,Hartsfield–Jackson Atlanta International Airport
Uruguay,Carrasco International Airport
Uzbekistan,Tashkent International Airport
Vanuatu,Bauerfield International Airport
Vatican City,Rome–Fiumicino Airport (Italy)
Venezuela,Simón Bolívar International Airport
Vietnam,Tan Son Nhat International Airport
Yemen,Aden International Airport
Zambia,Kenneth Kaunda International Airport
Zimbabwe,Robert Gabriel Mugabe International Airport
